Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","0.0929","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","0.5059","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","134.0719","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","134.0719","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1989","1989","3050","FAO TIER 1","kt","0.4168","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1989","1989","3050","FAO TIER 1","kt","0.0938","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1989","1989","3050","FAO TIER 1","kt","0.5105","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1989","1989","3050","FAO TIER 1","kt","135.292","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1989","1989","3050","FAO TIER 1","kt","135.292","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1990","1990","3050","FAO TIER 1","kt","0.4391","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1990","1990","3050","FAO TIER 1","kt","0.0988","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1990","1990","3050","FAO TIER 1","kt","0.5379","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1990","1990","3050","FAO TIER 1","kt","142.5516","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1990","1990","3050","FAO TIER 1","kt","142.5516","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1991","1991","3050","FAO TIER 1","kt","0.4451","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1991","1991","3050","FAO TIER 1","kt","0.1001","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1991","1991","3050","FAO TIER 1","kt","0.5452","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1991","1991","3050","FAO TIER 1","kt","144.4771","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1991","1991","3050","FAO TIER 1","kt","144.4771","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1992","1992","3050","FAO TIER 1","kt","0.4525","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1992","1992","3050","FAO TIER 1","kt","0.1018","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1992","1992","3050","FAO TIER 1","kt","0.5543","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1992","1992","3050","FAO TIER 1","kt","146.8883","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1992","1992","3050","FAO TIER 1","kt","146.8883","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1993","1993","3050","FAO TIER 1","kt","0.47","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1993","1993","3050","FAO TIER 1","kt","0.1058","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1993","1993","3050","FAO TIER 1","kt","0.5758","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1993","1993","3050","FAO TIER 1","kt","152.5811","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1993","1993","3050","FAO TIER 1","kt","152.5811","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1994","1994","3050","FAO TIER 1","kt","0.476","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1994","1994","3050","FAO TIER 1","kt","0.1071","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1994","1994","3050","FAO TIER 1","kt","0.5831","E","Estimated value",""
